연도,번호,도서명,저자명,출판사명
2013,298,임상 한약대도감,안덕균,(주)현암사
2013,299,인공지능 제어시스템,정동하,휴먼싸이언스
2013,300,유비쿼터스 개론,"양순옥, 김성석, 정광식",생능출판사
2013,301,안드로이드 프로그래밍,천인국,생능출판사
2013,302,전자기적 결합 현상의 응용,조영기,경북대학교출판부
2013,303,클라우드컴퓨팅설계및구현,"김경섭, 최완, 고대식",홍릉과학출판사
2013,304,MATLAB/Simulink for Digital Singnal Processing,양원영,홍릉과학출판사
2013,305,분산전원 배전계통 모델링 및 해석,김재언,내하출판사
2013,306,시작하세요! 하둡 프로그래밍 : 기초부터 실무까지 하둡의 모든 것,정재화,위키북스
2013,307,코드로 알아보는 ARM 리눅스 커널,"노서영, 윤석훈, 강진성, 송원준, 이윤재, 임윤재",제이펍
2013,308,우리 활터 석호정,나영일,(사)서울대학교출판문화원
2013,309,실천무도철학(The Way To Go),,백산출판사
2013,310,디자인 유랑 in Europe,윤호준,도서출판 조경
2013,311,풍력발전설비 지지구조물 설계지침.동해설 ,일본토목학회,도서출판 씨아이알
2013,312,데이터마이닝 기법과 응용,전치혁,한나래출판사
2013,313,측량학개관,"유복모, 유연",(주)박영사
2013,314,풀어쓴 재료 열역학,박종욱,진샘미디어
2013,315,러시아 우주 개척사,Brian Harvey,(주)도서출판 북스힐
2013,316,박막태양전지,,홍릉과학출판사
2014,317,동학·천도교의 어제와 오늘,윤석산,한양대학교출판부
2014,318,주자의 수양론,이상돈,도서출판 문사철
2014,319,"죽간ㆍ목간ㆍ백서, 중국 고대 간백자료의 세계 1",이승률,예문서원
2014,320,중국근대철학사,"Alfred Forke, 최해숙 역",예문서원
2014,321,한국 해학의 예술과 철학,윤병렬,아카넷
2014,322,찰나멸논증,"라뜨나끼르띠, 우제선 역",소명출판
2014,323,국가와 백성 사이의 한,"히하라 도시쿠니, 김동민 역",글항아리
2014,324,왜 다시 계몽이 필요한가,"쉬지린, 송인재 역",글항아리
2014,325,"정조의 스승, 서명응의 철학",이봉호,도서출판 동과서
2014,326,대승기신론 강해,한자경,불광출판사
2014,327,조선전기역철학사,엄연석,학자원
2014,328,송시열에서 강문학사에게로,안은수,성균관대학교출판부
2014,329,수치심과 죄책감,임홍빈,바다출판사
2014,330,"귀납, 우리는 언제 비약할 수 있는가",전영삼,아카넷
2014,331,후설과 메를로-퐁티 지각의 현상학,이남인,(주)도서출판 한길사
2014,332,현상학적 심리학,"에드먼트 후설, 이종훈 역",(주)도서출판 한길사
2014,333,"테크노 인문학-인문학과 과학기술, 융합적 사유의 힘-",이진우,책세상
2014,334,영혼에 관한 토론문제,"토마스 아퀴나스, 이재룡 외 역",(주)나남
2014,335,신경 과학의 철학,"맥스웰 R. 베넷 외, 이을상 외 역",(주)사이언스북스
2014,336,소외되기-소내되기-소내하기,김진석,문학동네
2014,337,존재와 사건,"알랭 바디우, 조형준 역",새물결
